Schema_Type,Name_Length,Name_Component_Length,Number_of_Publications,Schema_Size
NC,4,2,7,134
NC,4,2,8,150
NC,4,2,9,166
NC,4,2,10,182
NC,4,2,11,198
NC,4,2,12,214
NC,4,2,13,230
NC,4,2,14,246
NC,4,2,15,264
Vans,4,3,1,97
Vans,4,3,2,139
Vans,4,3,3,181
Vans,4,3,4,223
Vans,4,3,5,267
Vans,4,3,6,306
Vans,4,3,7,351
Vans,4,3,8,393
Vans,4,3,9,435
Vans,4,3,10,477
Vans,4,3,11,519
Vans,4,3,12,561
Vans,4,3,13,603
Vans,4,3,14,645
Vans,4,3,15,687
Simplified,4,3,1,65
Simplified,4,3,2,84
Simplified,4,3,3,103
Simplified,4,3,4,122
Simplified,4,3,5,141
Simplified,4,3,6,160
Simplified,4,3,7,179
Simplified,4,3,8,198
Simplified,4,3,9,217
Simplified,4,3,10,236
Simplified,4,3,11,257
Simplified,4,3,12,276
Simplified,4,3,13,295
Simplified,4,3,14,314
Simplified,4,3,15,333
NC,4,3,1,42
NC,4,3,2,62
NC,4,3,3,82
NC,4,3,4,102
NC,4,3,5,122
NC,4,3,6,142
NC,4,3,7,162
NC,4,3,8,182
NC,4,3,9,202
NC,4,3,10,222
NC,4,3,11,242
NC,4,3,12,264
NC,4,3,13,286
NC,4,3,14,306
NC,4,3,15,326
Vans,4,4,1,102
Vans,4,4,2,146
Vans,4,4,3,190
Vans,4,4,4,234
Vans,4,4,5,280
Vans,4,4,6,324
Vans,4,4,7,368
Vans,4,4,8,412
Vans,4,4,9,456
Vans,4,4,10,500
Vans,4,4,11,544
Vans,4,4,12,588
Vans,4,4,13,632
Vans,4,4,14,676
Vans,4,4,15,720
Simplified,4,4,1,70
Simplified,4,4,2,91
Simplified,4,4,3,112
Simplified,4,4,4,133
Simplified,4,4,5,154
Simplified,4,4,6,175
Simplified,4,4,7,196
Simplified,4,4,8,217
Simplified,4,4,9,238
Simplified,4,4,10,261
Simplified,4,4,11,282
Simplified,4,4,12,303
Simplified,4,4,13,324
Simplified,4,4,14,345
Simplified,4,4,15,366
NC,4,4,1,46
NC,4,4,2,70
NC,4,4,3,94
NC,4,4,4,118
NC,4,4,5,142
NC,4,4,6,166
NC,4,4,7,190
NC,4,4,8,214
NC,4,4,9,238
NC,4,4,10,264
NC,4,4,11,290
NC,4,4,12,314
NC,4,4,13,338
NC,4,4,14,362
NC,4,4,15,386
Vans,4,5,1,107
Vans,4,5,2,153
Vans,4,5,3,199
Vans,4,5,4,245
Vans,4,5,5,293
Vans,4,5,6,339
Vans,4,5,7,385
Vans,4,5,8,431
Vans,4,5,9,477
Vans,4,5,10,523
Vans,4,5,11,569
Vans,4,5,12,615
Vans,4,5,13,661
Vans,4,5,14,707
Vans,4,5,15,753
Simplified,4,5,1,75
Simplified,4,5,2,98
Simplified,4,5,3,121
Simplified,4,5,4,144
Simplified,4,5,5,167
Simplified,4,5,6,190
Simplified,4,5,7,213
Simplified,4,5,8,236
Simplified,4,5,9,261
Simplified,4,5,10,284
Simplified,4,5,11,307
Simplified,4,5,12,330
Simplified,4,5,13,353
Simplified,4,5,14,376
Simplified,4,5,15,399
NC,4,5,1,50
NC,4,5,2,78
NC,4,5,3,106
NC,4,5,4,134
NC,4,5,5,162
NC,4,5,6,190
NC,4,5,7,218
NC,4,5,8,246
NC,4,5,9,276
NC,4,5,10,306
NC,4,5,11,334
NC,4,5,12,362
NC,4,5,13,390
NC,4,5,14,418
NC,4,5,15,446
Vans,4,6,1,112
Vans,4,6,2,160
Vans,4,6,3,208
Vans,4,6,4,258
Vans,4,6,5,306
Vans,4,6,6,354
Vans,4,6,7,402
Vans,4,6,8,450
Vans,4,6,9,498
Vans,4,6,10,546
Vans,4,6,11,594
Vans,4,6,12,642
Vans,4,6,13,690
Vans,4,6,14,738
Vans,4,6,15,786
Simplified,4,6,1,80
Simplified,4,6,2,105
Simplified,4,6,3,130
Simplified,4,6,4,155
Simplified,4,6,5,180
Simplified,4,6,6,205
Simplified,4,6,7,230
Simplified,4,6,8,257
Simplified,4,6,9,282
Simplified,4,6,10,307
Simplified,4,6,11,332
Simplified,4,6,12,357
Simplified,4,6,13,382
Simplified,4,6,14,407
Simplified,4,6,15,432
NC,4,6,1,54
NC,4,6,2,86
NC,4,6,3,118
NC,4,6,4,150
NC,4,6,5,182
NC,4,6,6,214
NC,4,6,7,246
NC,4,6,8,282
NC,4,6,9,314
NC,4,6,10,346
NC,4,6,11,378
NC,4,6,12,410
NC,4,6,13,442
NC,4,6,14,474
NC,4,6,15,506
Vans,5,2,1,98
Vans,5,2,2,140
Vans,5,2,3,182
Vans,5,2,4,222
Vans,5,2,5,268
Vans,5,2,6,310
Vans,5,2,7,350
Vans,5,2,8,394
Vans,5,2,9,436
Vans,5,2,10,474
Vans,5,2,11,516
Vans,5,2,12,570
Vans,5,2,13,608
Vans,5,2,14,646
Vans,5,2,15,686
Simplified,5,2,1,65
Simplified,5,2,2,89
Simplified,5,2,3,101
Simplified,5,2,4,119
Simplified,5,2,5,137
Simplified,5,2,6,155
Simplified,5,2,7,173
Simplified,5,2,8,191
Simplified,5,2,9,209
Simplified,5,2,10,227
Simplified,5,2,11,251
Simplified,5,2,12,265
Simplified,5,2,13,283
Simplified,5,2,14,307
Simplified,5,2,15,319
NC,5,2,1,41
NC,5,2,2,60
NC,5,2,3,79
NC,5,2,4,98
NC,5,2,5,117
NC,5,2,6,136
NC,5,2,7,155
NC,5,2,8,174
NC,5,2,9,193
NC,5,2,10,212
NC,5,2,11,231
NC,5,2,12,250
NC,5,2,13,271
NC,5,2,14,292
NC,5,2,15,311
Vans,5,3,1,104
Vans,5,3,2,148
Vans,5,3,3,192
Vans,5,3,4,236
Vans,5,3,5,282
Vans,5,3,6,326
Vans,5,3,7,370
Vans,5,3,8,414
Vans,5,3,9,458
Vans,5,3,10,502
Vans,5,3,11,546
Vans,5,3,12,590
Vans,5,3,13,634
Vans,5,3,14,678
Vans,5,3,15,722
Simplified,5,3,1,71
Simplified,5,3,2,91
Simplified,5,3,3,111
Simplified,5,3,4,131
Simplified,5,3,5,151
Simplified,5,3,6,171
Simplified,5,3,7,191
Simplified,5,3,8,211
Simplified,5,3,9,231
Simplified,5,3,10,251
Simplified,5,3,11,273
Simplified,5,3,12,293
Simplified,5,3,13,313
Simplified,5,3,14,333
Simplified,5,3,15,353
NC,5,3,1,46
NC,5,3,2,70
NC,5,3,3,94
NC,5,3,4,118
NC,5,3,5,142
NC,5,3,6,166
NC,5,3,7,190
NC,5,3,8,214
NC,5,3,9,238
