Schema_Type,Name_Length,Name_Component_Length,Number_of_Publications,Schema_Size
Simplified,4,3,11,407
Simplified,4,3,12,441
Simplified,4,3,13,475
Simplified,4,3,14,509
Simplified,4,3,15,549
NC,4,3,1,42
NC,4,3,2,62
NC,4,3,3,82
NC,4,3,4,102
NC,4,3,5,122
NC,4,3,6,142
NC,4,3,7,162
NC,4,3,8,182
NC,4,3,9,202
NC,4,3,10,222
NC,4,3,11,242
NC,4,3,12,264
NC,4,3,13,286
NC,4,3,14,306
NC,4,3,15,326
Vans,4,4,1,102
Vans,4,4,2,164
Vans,4,4,3,226
Vans,4,4,4,290
Vans,4,4,5,352
Vans,4,4,6,414
Vans,4,4,7,476
Vans,4,4,8,538
Vans,4,4,9,600
Vans,4,4,10,662
Vans,4,4,11,724
Vans,4,4,12,790
Vans,4,4,13,860
Vans,4,4,14,933
Vans,4,4,15,1002
Simplified,4,4,1,70
Simplified,4,4,2,109
Simplified,4,4,3,148
Simplified,4,4,4,187
Simplified,4,4,5,226
Simplified,4,4,6,267
Simplified,4,4,7,306
Simplified,4,4,8,345
Simplified,4,4,9,384
Simplified,4,4,10,423
Simplified,4,4,11,462
Simplified,4,4,12,505
Simplified,4,4,13,554
Simplified,4,4,14,603
Simplified,4,4,15,652
NC,4,4,1,46
NC,4,4,2,70
NC,4,4,3,94
NC,4,4,4,118
NC,4,4,5,142
NC,4,4,6,166
NC,4,4,7,190
NC,4,4,8,214
NC,4,4,9,238
NC,4,4,10,264
NC,4,4,11,290
NC,4,4,12,314
NC,4,4,13,338
NC,4,4,14,362
NC,4,4,15,386
Vans,4,5,1,107
Vans,4,5,2,174
Vans,4,5,3,241
Vans,4,5,4,310
Vans,4,5,5,377
Vans,4,5,6,444
Vans,4,5,7,511
Vans,4,5,8,578
Vans,4,5,9,645
Vans,4,5,10,718
Vans,4,5,11,793
Vans,4,5,12,870
Vans,4,5,13,947
Vans,4,5,14,1024
Vans,4,5,15,1092
Simplified,4,5,1,75
Simplified,4,5,2,119
Simplified,4,5,3,163
Simplified,4,5,4,207
Simplified,4,5,5,251
Simplified,4,5,6,297
Simplified,4,5,7,341
Simplified,4,5,8,385
Simplified,4,5,9,429
Simplified,4,5,10,479
Simplified,4,5,11,533
Simplified,4,5,12,587
Simplified,4,5,13,641
Simplified,4,5,14,695
Simplified,4,5,15,740
NC,4,5,1,50
NC,4,5,2,78
NC,4,5,3,106
NC,4,5,4,134
NC,4,5,5,162
NC,4,5,6,190
NC,4,5,7,218
NC,4,5,8,246
